node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
erm(Y)	erm-23S_rRNA	erm(Y)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Enterobacter hormaechei_A;Listeria monocytogenes_B	1	0	1	1	1
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria innocua;Listeria monocytogenes_B	1	0	1	1	1
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria monocytogenes;Salmonella houtenae	1	0	1	1	1
lsa(E)	lsa	lsa(E)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	Listeria kieliensis_A	1	0	1	0.3333333333333333	3
msr(D)	msr	msr(D)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
spd	ant(9)	spd	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
tet(O)	tet(M-W-O-S)	tet(O)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
vat(B)	vat	vat(B)	STREPTOGRAMIN	STREPTOGRAMIN	Listeria innocua	1	0	1	6.464124111182935e-4	1547
vga(B)	vga	vga(B)	LINCOSAMIDE	LINCOSAMIDE	Listeria innocua	1	0	1	6.464124111182935e-4	1547
vga(G)	vga	vga	LINCOSAMIDE	LINCOSAMIDE	Listeria innocua	1	0	1	6.464124111182935e-4	1547
vga(G)	vga	vga(G)	LINCOSAMIDE	LINCOSAMIDE	Enterobacter hormaechei_A;Listeria monocytogenes_B	1	0	1	1	1
