node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
cmlA1	cmlA	cmlA1	PHENICOL	CHLORAMPHENICOL	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
dfrA21	dfrA12_A21	dfrA21	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
dfrA30	dfrA	dfrA30	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
aac(6')-IIc	aac(6')-II	aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
blaFOX-5	blaFOX	blaFOX-5	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
blaGES-24	blaGES	blaGES-24	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
blaIMP-1	blaIMP	blaIMP-1	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
blaLEN-51	blaLEN	blaLEN-51	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
blaPER-2	blaPER	blaPER-2	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
blaCARB-2	blaPSE	blaCARB-2	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
catB11	catB	catB11	PHENICOL	CHLORAMPHENICOL	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
mcr-9.1	mcr-9	mcr-9.1	COLISTIN	COLISTIN	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
qnrB17	qnrB	qnrB17	QUINOLONE	QUINOLONE	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
gyrA	NA	gyrA_S83Y	QUINOLONE	QUINOLONE	Klebsiella variicola	4	0	4	0.0016501650165016502	2424
blaFOX	NA	NA	NA	NA	Klebsiella variicola	0	4	4	0.0016501650165016502	2424
blaPER	NA	NA	NA	NA	Klebsiella variicola	0	4	4	0.0016501650165016502	2424
blaPSE	NA	NA	NA	NA	Klebsiella variicola	0	4	4	0.0016501650165016502	2424
erm-23S_rRNA	NA	NA	NA	NA	Klebsiella variicola	0	4	4	0.0016501650165016502	2424
qnr	NA	NA	NA	NA	Klebsiella variicola	0	4	4	0.0016501650165016502	2424
aac(3)-IIg	aac(3)-II	aac(3)-IIg	AMINOGLYCOSIDE	GENTAMICIN	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
aac(6')-Ib-AGKT	aac(6')-Ib	aac(6')-Ib	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Klebsiella variicola	2	1	3	0.0012376237623762376	2424
